ID,Name,School,Damage Types,Descriptors,Tags,Wiki Categories
0,"Acid Fog",Conjuration,Acid,Acid,Acid,Conjuration School; Acid Damage
1,"Aid",Enchantment,,Mind-affecting,Mind Affecting,Enchantment School; Mind-Affecting; Fear Effect
2,"Animate Dead",Necromancy,,Evil,Evil,Necromancy School; Undead; Summoning
3,"Barkskin",Transmutation,,None,,Transmutation School
4,"Bestow Curse",Necromancy,,None,,Necromancy School; Will Save; Fear Effect; Curse
5,"Blade Barrier",Evocation,Slashing,None,,Evocation School; Slashing Damage; Reflex Save
6,"Bless",Enchantment,,Mind-affecting,Mind Affecting,Enchantment School; Mind-Affecting; Fear Effect
7,"Bless Weapon",Transmutation,Divine; Fire; Magical; Positive,Weapon Enchantment,Weapon Enchantment,Transmutation School; Divine Damage; Fire Damage; Magical Damage; Positive Energy; Undead
8,"Blindness and Deafness",Enchantment,,None,,Enchantment School; Fortitude Save
9,"Bulls Strength",Transmutation,,None,,Transmutation School
10,"Burning Hands",Transmutation,Fire,Fire,Fire,Transmutation School; Fire Damage; Reflex Save
11,"Call Lightning",Evocation,Electricity,Electricity,Electricity,Evocation School; Electric Damage; Reflex Save
14,"Chain Lightning",Evocation,Electricity,Electricity,Electricity,Evocation School; Electric Damage; Reflex Save
15,"Charm Monster",Enchantment,,Mind-affecting,Mind Affecting,Enchantment School; Will Save; Mind-Affecting
16,"Charm Person",Enchantment,,Mind-affecting,Mind Affecting,Enchantment School; Will Save; Mind-Affecting
17,"Charm Person or Animal",Enchantment,,Mind-affecting,Mind Affecting,Enchantment School; Will Save; Mind-Affecting
18,"Circle of Death",Necromancy,Negative,Death,Death,Necromancy School; Negative Energy; Fortitude Save; Death Effect
19,"Circle of Doom",Necromancy,Negative,Negative,Negative,Necromancy School; Negative Energy; Fortitude Save; Healing; Undead
20,"Clairaudience and Clairvoyance",Divination,Piercing,None,,Divination School; Piercing Damage
21,"Clarity",Abjuration,Negative,Mind-affecting,Mind Affecting,Abjuration School; Negative Energy; Mind-Affecting; Stun
23,"Cloudkill",Conjuration,,Death,Death,Conjuration School; Fortitude Save; Death Effect
24,"Color Spray",Illusion,,Mind-affecting,Mind Affecting,Illusion School; Will Save; Mind-Affecting; Stun
25,"Cone of Cold",Evocation,Cold,Cold,Cold,Evocation School; Cold Damage; Reflex Save
26,"Confusion",Enchantment,,Mind-affecting,Mind Affecting,Enchantment School; Will Save; Mind-Affecting
27,"Contagion",Necromancy,Fire,None,,Necromancy School; Fire Damage; Fortitude Save
28,"Control Undead",Necromancy,,None,,Necromancy School; Will Save; Undead
29,"Create Greater Undead",Necromancy,,Evil,Evil,Necromancy School; Undead; Summoning
30,"Create Undead",Necromancy,,Evil,Evil,Necromancy School; Undead; Summoning
31,"Cure Critical Wounds",Conjuration,,None,,Conjuration School; Healing; Undead
32,"Cure Light Wounds",Conjuration,,None,,Conjuration School; Healing; Undead
33,"Cure Minor Wounds",Conjuration,Positive,Positive,Positive,Conjuration School; Positive Energy; Healing; Undead
34,"Cure Moderate Wounds",Conjuration,,None,,Conjuration School; Healing; Undead
35,"Cure Serious Wounds",Conjuration,,None,,Conjuration School; Healing; Undead
36,"Darkness",Evocation,Fire,Darkness,Darkness,Evocation School; Fire Damage
37,"Daze",Enchantment,,Mind-Affecting,Mind Affecting,Enchantment School; Will Save; Mind-Affecting
38,"Death Ward",Necromancy,,None,,Necromancy School; Death Effect
39,"Delayed Blast Fireball",Evocation,Fire; Magical,Fire,Fire,Evocation School; Fire Damage; Magical Damage; Reflex Save
40,"Dismissal",Abjuration,,None,,Abjuration School; Will Save; Undead; Summoning
41,"Dispel Magic",Abjuration,Magical,None,,Abjuration School; Magical Damage
42,"Divine Power",Evocation,,None,,Evocation School
43,"Dominate Animal",Enchantment,,Mind-affecting,Mind Affecting,Enchantment School; Will Save; Mind-Affecting
44,"Dominate Monster",Enchantment,,Mind-affecting,Mind Affecting,Enchantment School; Will Save; Mind-Affecting
45,"Dominate Person",Enchantment,,Mind-affecting,Mind Affecting,Enchantment School; Will Save; Mind-Affecting
46,"Doom",Necromancy,Magical,Mind-affecting,Mind Affecting,Necromancy School; Magical Damage; Will Save; Mind-Affecting
47,"Flame Shield",Evocation,Cold; Fire,Cold, Fire,Cold; Fire,Evocation School; Cold Damage; Fire Damage
