Spell	ID
Acid Fog	0
Acid Splash	424
Acrobatic Mastery	1610
Aegis	1629
Aid	1
Alternate Shape Racial	1508
Alternate Shape Totem Shape	1507
Alternate Shape Were	1509
Amplify	442
Animate Dead	2
Antimagic Field	1587
ARArrowOfDeath	604
Arcane Bleed	1621
ARHailOfArrows	603
ARImbueArrow	600
ARSeekerArrow	601
ARSeekerArrow2	602
ARSentryArrow	980
AS Assassinate	1503
ASDarkness	606
ASEtheralVis	1560
ASGhostlyVisage	605
ASImprovedInvisibility	608
ASInvisibility	607
AURA BLINDING	195
Aura Cold	196
Aura Electricity	197
Aura Fear	198
Aura Fear Dragon	412
Aura Fire	199
Aura HorrificAppearance	804
Aura Menace	200
Aura Of Courage	314
Aura of Hellfire	761
Aura of Vitality	372
Aura Protection	201
Aura Stun	202
Aura Unearthly Visage	203
Aura Unnatural	204
Aura versus Alignment	323
AuraOfGlory	429
AuraOfGlory X2	562
Avascular Mass	1575
Awaken	363
Azer Fire Blast	801
BalagarnsIronHorn	436
BalefulPolymorph BAT	1370
BalefulPolymorph CHICKEN	1364
BalefulPolymorph COW	1366
BalefulPolymorph MOUSE	1368
BalefulPolymorph PENGUIN	1365
BalefulPolymorph SNAKE	1369
BalefulPolymorph TOAD	1367
Ball Lightning	516
Bane	449
Banishment	430
Banner	1628
BARBARIAN RAGE	307
Bard Nahal Reckless Dweomer	1529
Bards Song	411
Barkskin	3
Battle Boulder Toss	773
Battle Mastery Spell	380
Battletide	517
Bears Endurance	49
Bestow Curse	4
BG AURA DESPAIR	1728
BG CORRUPT WEAPON	1727
BGCreateDead	609
BGFiendish	610
BGInflictCritical	612
BGInflictSerious	611
Bigbys Clenched Fist	462
Bigbys Crushing Hand	463
Bigbys Disrupting Hand	1581
Bigbys Forceful Hand	460
Bigbys Grasping Hand	461
Bigbys Interposing Hand	459
BK BullsStrength	614
BK Contagion	613
Black Blade of Disaster	533
Blackstaff	541
Blade Barrier	5
Blade Thirst	535
Blasphemy	1566
Bless	6
Bless Weapon	537
Bless Weapon	7
Blindness and Deafness	8
Blood Frenzy	422
Bombardment	423
Bulls Strength	9
Burning Hands	10
Butterfly Spray	505
Call Lightning	11
Calm Emotions	12
Cambion	1531
Camouflage	421
Cats Grace	481
Cats Grace (Spellbook)	13
Chain Lightning	14
Chaos Shield	1562
Charger	509
Charm Monster	15
Charm Person	16
Charm Person or Animal	17
Chosen Weapon	1637
Chromatic Orb	1573
Circle of Death	18
Circle of Doom	19
Clairaudience and Clairvoyance	20
Clarity	21
Cloak of Chaos	22
Cloud of Bewilderment	569
Cloudkill	23
Color Spray	24
Combust	518
Command	1733
Command Come	1736
Command Dance	1740
Command Fall	1734
Command Flee	1737
Command Kneel	1738
Command reserved	1741
Command Sit	1739
Command Stay	1735
Cone Acid	229
Cone Cold	230
Cone Disease	231
Cone Fire	232
Cone Lightning	233
Cone of Cold	25
Cone Poison	234
Cone Sonic	235
Confusion	26
Contagion	27
Continual Flame	419
Control Undead	28
Craft Armor	657
Craft Armor Component	743
CRAFT HARPER ITEM	479
Craft Weapon	656
Craft Weapon Component	742
Create Greater Undead	29
Create Undead	30
